b3000d5eb9	bbb22	চাকমা জাতির ইতিহাস
b30031cf6e	1652d	মোকাবিলার বিষয়কেও
b3011acb3e	2396d	১৯৯৫ সালের বড়দিনে হলেও
b301c854e9	c7a89	অভিভাবকরা আতংকিত হয়ে পড়েন
b301f3f9ab	cc9fd	মরম আমারে কয়ে
b3022823ea	9fa90	আনা সোনা
b30230de5c	39293	এমপি রনিকে
b3028dbd80	ad2a0	মেঝেতে পড়ে আছে
b302a31153	7351e	কস্তার সফল পেনাল্টিতে এগিয়ে যায় আতলেতিকো।
b302ce1c92	8a46d	নতুন রাস্তা হয়েছে
b302fb6932	af81d	মানসিক বিকাশ
b302fbd9c8	d2faf	বন্ধ রাখতে হয় খেলা
b303f9c39f	2ecf8	সমর্থন দেওয়া হলেও
b3040ba638	e89bb	ক্রিকেট ভাষ্যকার
b30591c80f	d2294	এই বাংলাদেশে তো ব্রাহ্মণ আছে
b3062714c4	1cb75	ছোট-বড় হাজার হাজার
b3067695f0	88654	সে মানসিক প্রতিবন্ধী ছিল
b307c1fdc1	2f547	সাক্ষরতার হার ৭৬%
b307e1ca8b	195f7	তিনি বলিলেন
b307e50794	7df87	তার বাগ্মিতা, সংগ্রাম
b307effb68	dae88	এইচ এস সি ভর্তি ফরম
b307fe714d	2ecf8	গালমন্দ করেন
b308032038	e9fa7	অ্যানাফিল্যাক্সিসের একমাত্র
b308f4d006	0b7ca	আশ্রম সন্ধান করিয়া হইবেক
b3092f5cc5	b618b	জামশেদ টাটা প্রতিষ্ঠিত করেন
b309577309	6da0a	আল কায়দা সেখান থেকে
b309636088	92f59	ইঙ্গিত ছিল
b309c225e5	d9ba9	ডিসিসির বিদ্যমান আইনে
b30a7ff0fd	17ca1	পুঁজির বিনিয়োগ
b30b1f8655	d1b12	পরনিন্দা, পরচর্চা
b30b486354	d7a68	ঢাকায় পুলিশের একজন কর্মকর্তা তিন বিএনপি নেতাকে আটক করার বিষয়টি নিশ্চিত করেছেন।
b30b66df6b	5b13f	উপাদানগুলোকে নিয়ে
b30bf23ed3	91dff	সেই মহাক্রীড়ার একটি
b30c24735e	83c53	ইউরোপের আর্থিক সংকট
b30c350298	ce629	গাঁজা বিক্রির
b30cb41ad0	38d3a	ছুটোছুটির সামর্থ্যহীন
b30d0456b4	2de86	নিজের অস্তিত্বকে
b30d1a19e8	a7c6f	ভোঁতা নাক, কালো ঠোঁট
b30d922137	e00db	থানা ও ওয়ার্ড পর্যায়ের নেতারা
b30d9b440d	29d44	তাতো নয়
b30e449d19	a0277	চমৎকার ইনিংস খেলেন
b30ec5e0fe	a1201	টায়ারে আগুন জ্বালিয়ে বিক্ষোভ করে
b30fc5f143	f89d7	বিবিসির ফরিদ আহমেদ
b310754ee0	ea8fa	যতবার দেখেছি নিজেকে
b310ef0c8d	9c8dd	উন্নত দেশের
b31172d16e	12702	হাঁপিয়ে গেলুম
